what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1531446496900
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1531446496901
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1531446496901
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1531446496902
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1531446496903
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1531446496904
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1531446496904
os,sysinfo,,,"win32",1531446496906
arch,sysinfo,,,"x86_64",1531446496906
ws,sysinfo,,,"win32",1531446496906
locale,sysinfo,,,"zh_CN",1531446496906
processors,sysinfo,,,"8",1531446496906
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1531446496906
java.runtime.version,sysinfo,,,"1.8.0_171-b11",1531446496906
java.specification.name,sysinfo,,,"Java Platform API Specification",1531446496906
java.specification.vendor,sysinfo,,,"Oracle Corporation",1531446496906
java.specification.version,sysinfo,,,"1.8",1531446496906
java.vendor,sysinfo,,,"Oracle Corporation",1531446496906
java.version,sysinfo,,,"1.8.0_171",1531446496906
java.vm.info,sysinfo,,,"mixed mode",1531446496906
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1531446496906
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1531446496906
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1531446496906
java.vm.specification.version,sysinfo,,,"1.8",1531446496906
java.vm.vendor,sysinfo,,,"Oracle Corporation",1531446496906
java.vm.version,sysinfo,,,"25.171-b11",1531446496906
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1531446502576
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1531446502728
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1531446502729
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1531446502730
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1531446502730
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1531446502730
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1531446502731
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1531446502732
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1531446502733
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1531446502734
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1531446502734
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1531446502734
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1531446502734
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1531446502735
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1531446502735
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1531446502740
